entity_num,alt_num,alt_type,alt_name,alt_remarks
18281,28257.0,fka,LLC RESAD,-0- 
18281,28259.0,fka,RESAD LLC,-0- 
18281,55116.0,aka,INFRASTRUKTURA MOLZHANINOVO,-0- 
18282,28261.0,aka,NOVOKUIBYSHEVSK REFINERY,-0- 
18283,28264.0,aka,JSC RUSSIAN BANK FOR SMALL AND MEDIUM ENTERPRISES SUPPORT,-0- 
18283,28265.0,aka,JSC SME BANK,-0- 
18283,28266.0,aka,AKTSIONERNOE OBSHCHESTVO ROSSISKI BANK PODDERZHKI MALOGO I SREDNEGO PREDPRINIMATELSTVA,-0- 
18283,28267.0,aka,MSP BANK AO,-0- 
18283,28268.0,fka,OTKRYTOE AKTSIONERNOE OBSHCHESTVO ROSSISKI BANK RAZVITIYA,-0- 
18284,28270.0,aka,RN-KOMSOMOLSKI NPZ OOO,-0- 
18284,28271.0,aka,KOMSOMOLSK REFINERY,-0- 
18284,28272.0,aka,LLC RN-KOMSOMOLSK REFINERY,-0- 
18285,28274.0,aka,SVIAZ-BANK AKB PAO,-0- 
18285,28275.0,aka,MEZHREGIONALNY KOMMERCHESKI BANK RAZVITIYA SVYAZI I INFORMATIKI (PUBLICHNOE AKTSIONERNOE OBSHCHESTVO),-0- 
18285,28276.0,aka,INTERREGIONAL BANK FOR SETTLEMENTS OF THE TELECOMMUNICATIONS AND POSTAL SERVICES,-0- 
18286,28279.0,aka,OOO VEB KAPITAL,-0- 
18286,28280.0,aka,OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU INVESTITSIONNA YA KOMPANIYA VNESHEKONOMBANKA,-0- 
18286,28283.0,aka,LLC VEB CAPITAL,-0- 
18287,28285.0,aka,OOO VEB INZHINIRING,-0- 
18287,28286.0,aka,OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU VEB INZHINIRING,-0- 
18287,55043.0,aka,VEB ENGINEERING LIMITED LIABILITY COMPANY,-0- 
18287,55044.0,aka,OOO VEB ENGINEERING,-0- 
18288,28288.0,aka,OAO VEB LIZING,-0- 
18288,28289.0,aka,OTKRYTOE AKTSIONERNOE OBSHCHESTVO VEB LIZING,-0- 
18288,28290.0,aka,OPEN JOINT STOCK COMPANY VEB LEASING,-0- 
18288,28291.0,aka,OJSC VEB LEASING,-0- 
18289,28293.0,fka,RGI INTERNATIONAL LIMITED,-0- 
18289,28296.0,fka,RGI INTERNATIONAL,-0- 
18290,28297.0,aka,SYZRAN REFINERY,-0- 
18290,28298.0,aka,OPEN JOINT-STOCK OIL AND GAS COMPANY SYZRAN,-0- 
18291,28300.0,aka,BELVNESHECONOMBANK OPEN JOINT STOCK COMPANY,-0- 
18291,28301.0,aka,BELVESHECONOMBANK OAO,-0- 
18291,55032.0,aka,BANK BELVEB OPEN JOINT STOCK COMPANY,-0- 
18292,28303.0,aka,ACHINSK REFINERY,-0- 
18292,28304.0,aka,OAO ACHINSK OIL REFINERY VNK,-0- 
18293,28306.0,aka,PSC PROMINVESTBANK,-0- 
18293,28307.0,aka,PUBLIC STOCK COMPANY JOINT STOCK COMMERCIAL INDUSTRIAL AND INVESTMENT BANK,-0- 
18293,28308.0,aka,COMMERCIAL INDUSTRIAL AND INVESTMENT BANK PUBLIC JOINT STOCK COMPANY,-0- 
18293,28309.0,aka,JOINT STOCK COMMERCIAL INDUSTRIAL AND INVESTMENT BANK PUBLIC JOINT STOCK COMPANY,-0- 
18294,28311.0,aka,KUIBYSHEV REFINERY,-0- 
18294,28313.0,aka,OJSC KUIBYSHEV REFINERY,-0- 
18296,28315.0,aka,RN HOLDING OAO,-0- 
18297,28317.0,aka,RN-AKTIV OOO,-0- 
18297,28318.0,aka,OOO NEFT-AKTIV,-0- 
18298,28320.0,aka,RUSSIAN REGIONAL DEVELOPMENT BANK,-0- 
18300,28323.0,fka,TNK TRADE LIMITED,-0- 
18669,29247.0,aka,SBERBANK CAPITAL LLC,-0- 
18669,29248.0,aka,SBERBANK KAPITAL OOO,-0- 
18669,29249.0,aka,OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU SBERBANK KAPITAL,-0- 
18669,29474.0,aka,SBERBANK CAPITAL LIMITED LIABILITY COMPANY,-0- 
18708,29285.0,aka,SBERBANK INVESTMENTS LLC,-0- 
18708,29286.0,aka,SBERBANK INVESTMENTS OOO,-0- 
18709,29288.0,aka,CJSC SBERBANK LEASING,-0- 
18709,29289.0,aka,SBERBANK LEASING ZAO,-0- 
18709,29290.0,aka,SBERBANK LIZING ZAKRYTOE AKTSIONERNOE OBSHCHESTVO,-0- 
18709,29291.0,aka,SBERBANK LEASING JSC,-0- 
18709,29292.0,fka,RUSSKO-GERMANSKAYA LIZINGOVAYA KOMPANIYA ZAO,-0- 
18710,29294.0,aka,CETELEM BANK LLC,-0- 
18710,29295.0,aka,SETELEM BANK OOO,-0- 
18710,29296.0,aka,SETELEM BANK OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU,-0- 
18710,29297.0,fka,KOMMERCHESKI BANK UKRSIBBANK OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU,-0- 
18710,55059.0,aka,CETELEM BANK LIMITED LIABILITY COMPANY,-0- 
18711,29299.0,aka,LLC PS YANDEX.MONEY,-0- 
